navy	admiral	owner_emp_use
army	commander	owner_emp_use
company	commander	owner_emp_use
navy	commander	owner_emp_use
police	commander	owner_emp_use
city	commissioner	owner_emp_use
police	commissioner	owner_emp_use
child	advocate	owner_emp_use
government	agency	owner_emp_use
brokerage	analyst	owner_emp_use
city	analyst	owner_emp_use
government	analyst	owner_emp_use
government	army	owner_emp_use
company	auditor	owner_emp_use
government	auditor	owner_emp_use
army	battalion	owner_emp_use
government	body	owner_emp_use
army	captain	owner_emp_use
navy	captain	owner_emp_use
team	captain	owner_emp_use
city	clerk	owner_emp_use
circus	clown	owner_emp_use
government	commission	owner_emp_use
city	committee	owner_emp_use
government	committee	owner_emp_use
parliament	committee	owner_emp_use
village	committee	owner_emp_use
police	constable	owner_emp_use
city	controller	owner_emp_use
government	delegation	owner_emp_use
military	delegation	owner_emp_use
parliament	delegation	owner_emp_use
police	dispatcher	owner_emp_use
navy	diver	owner_emp_use
city	economist	owner_emp_use
government	economist	owner_emp_use
government	functionary	owner_emp_use
village	guard	owner_emp_use
government	hostage	owner_emp_use
government	informant	owner_emp_use
police	informant	owner_emp_use
company	insider	owner_emp_use
city	inspector	owner_emp_use
government	inspector	owner_emp_use
police	inspector	owner_emp_use
army	investigator	owner_emp_use
government	investigator	owner_emp_use
navy	investigator	owner_emp_use
police	investigator	owner_emp_use
administration	lawyer	owner_emp_use
city	lawyer	owner_emp_use
company	lawyer	owner_emp_use
defence	lawyer	owner_emp_use
government	lawyer	owner_emp_use
army	lieutenant	owner_emp_use
housing	lobby	owner_emp_use
government	ministry	owner_emp_use
army	officer	owner_emp_use
city	officer	owner_emp_use
company	officer	owner_emp_use
government	officer	owner_emp_use
navy	officer	owner_emp_use
police	officer	owner_emp_use
press	officer	owner_emp_use
administration	official	owner_emp_use
agency	official	owner_emp_use
airport	official	owner_emp_use
army	official	owner_emp_use
brokerage	official	owner_emp_use
city	official	owner_emp_use
commission	official	owner_emp_use
committee	official	owner_emp_use
company	official	owner_emp_use
foundation	official	owner_emp_use
government	official	owner_emp_use
hotel	official	owner_emp_use
labour	official	owner_emp_use
military	official	owner_emp_use
ministry	official	owner_emp_use
museum	official	owner_emp_use
navy	official	owner_emp_use
opposition	official	owner_emp_use
party	official	owner_emp_use
police	official	owner_emp_use
press	official	owner_emp_use
prison	official	owner_emp_use
railroad	official	owner_emp_use
team	official	owner_emp_use
village	official	owner_emp_use
zoo	official	owner_emp_use
employer	organisation	owner_emp_use
government	panel	owner_emp_use
army	patrol	owner_emp_use
police	patrol	owner_emp_use
team	physician	owner_emp_use
city	police	owner_emp_use
government	regulator	owner_emp_use
company	representative	owner_emp_use
government	representative	owner_emp_use
media	representative	owner_emp_use
party	representative	owner_emp_use
government	researcher	owner_emp_use
government	scientist	owner_emp_use
project	scientist	owner_emp_use
city	solicitor	owner_emp_use
administration	source	owner_emp_use
airport	source	owner_emp_use
army	source	owner_emp_use
committee	source	owner_emp_use
company	source	owner_emp_use
government	source	owner_emp_use
media	source	owner_emp_use
military	source	owner_emp_use
ministry	source	owner_emp_use
navy	source	owner_emp_use
opposition	source	owner_emp_use
party	source	owner_emp_use
police	source	owner_emp_use
team	source	owner_emp_use
affairs	spokesman	owner_emp_use
airport	spokesman	owner_emp_use
army	spokesman	owner_emp_use
city	spokesman	owner_emp_use
commission	spokesman	owner_emp_use
committee	spokesman	owner_emp_use
company	spokesman	owner_emp_use
defence	spokesman	owner_emp_use
employment	spokesman	owner_emp_use
government	spokesman	owner_emp_use
health	spokesman	owner_emp_use
labour	spokesman	owner_emp_use
military	spokesman	owner_emp_use
ministry	spokesman	owner_emp_use
navy	spokesman	owner_emp_use
opposition	spokesman	owner_emp_use
party	spokesman	owner_emp_use
police	spokesman	owner_emp_use
press	spokesman	owner_emp_use
prison	spokesman	owner_emp_use
security	spokesman	owner_emp_use
service	spokesman	owner_emp_use
solidarity	spokesman	owner_emp_use
team	spokesman	owner_emp_use
transport	spokesman	owner_emp_use
airport	spokeswoman	owner_emp_use
army	spokeswoman	owner_emp_use
city	spokeswoman	owner_emp_use
commission	spokeswoman	owner_emp_use
company	spokeswoman	owner_emp_use
government	spokeswoman	owner_emp_use
ministry	spokeswoman	owner_emp_use
navy	spokeswoman	owner_emp_use
police	spokeswoman	owner_emp_use
army	staff	owner_emp_use
city	staff	owner_emp_use
commission	staff	owner_emp_use
committee	staff	owner_emp_use
hotel	staff	owner_emp_use
party	strategist	owner_emp_use
police	superintendent	owner_emp_use
army	team	owner_emp_use
government	technocrat	owner_emp_use
army	troop	owner_emp_use
government	troop	owner_emp_use
government	work	owner_emp_use
party	work	owner_emp_use
broadcast	license	purpose
snack	food	purpose
lounge	wear	purpose
paint	brush	purpose
alarm	clock	purpose
work	cloth	purpose
rescue	equipment	purpose
support	equipment	purpose
transport	equipment	purpose
copy	machine	purpose
fax	machine	purpose
guard	rail	purpose
assault	rifle	purpose
picnic	table	purpose
tow	truck	purpose
launch	vehicle	purpose
rescue	vehicle	purpose
star	vehicle	purpose
transport	vehicle	purpose
patrol	vessel	purpose
rescue	vessel	purpose
research	vessel	purpose
assault	weapon	purpose
design	world	purpose
aid	material	purpose
relief	material	purpose
research	material	purpose
bridge	loan	purpose
search	engine	purpose
fund	system	other
leadership	system	other
pay	system	other
portfolio	strategy	other
skin	tone	complement
ocean	temperature	complement
oven	temperature	complement
water	temperature	complement
student	age	complement
passenger	age	complement
clock	speed	complement
brand	name	complement
city	name	complement
company	name	complement
fund	name	complement
user	name	complement
victim	name	complement
jersey	number	complement
student	number	complement
book	title	complement
cash	value	complement
entertainment	value	complement
home	value	complement
import	value	complement
investment	value	complement
portfolio	value	complement
property	value	complement
shock	value	complement
accident	rate	complement
accuracy	rate	complement
cancer	rate	complement
casualty	rate	complement
death	rate	complement
delinquency	rate	complement
employment	rate	complement
enrollment	rate	complement
error	rate	complement
fatality	rate	complement
illiteracy	rate	complement
participation	rate	complement
pass	rate	complement
pregnancy	rate	complement
prevalence	rate	complement
recovery	rate	complement
reimbursement	rate	complement
repurchase	rate	complement
response	rate	complement
reversal	rate	complement
support	rate	complement
survival	rate	complement
infection	rate	complement
graduation	rate	complement
incarceration	rate	complement
literacy	rate	complement
injury	rate	complement
cure	rate	complement
incidence	rate	complement
borrowing	rate	complement
cash	rate	complement
fund	rate	complement
deposit	rate	complement
consumption	rate	complement
inflation	rate	complement
aid	rate	complement
annuity	rate	complement
barge	rate	complement
base	rate	complement
coupon	rate	complement
duty	rate	complement
guarantee	rate	complement
income tax	rate	complement
increase	rate	complement
investment	rate	complement
money	rate	complement
order	rate	complement
percentage	rate	complement
profit	rate	complement
property	rate	complement
selling	rate	complement
transport	rate	complement
celebrity	clout	complement
agency	clout	complement
superpower	clout	complement
executive	power	complement
government	power	complement
police	power	complement
policy	direction	complement
health	status	complement
brokerage	commission	purpose
inspection	commission	purpose
police	commission	purpose
trading	commission	purpose
appropriation	committee	purpose
banking	committee	purpose
bargaining	committee	purpose
commerce	committee	purpose
defence	committee	purpose
expansion	committee	purpose
intelligence	committee	purpose
investment	committee	purpose
judiciary	committee	purpose
mediation	committee	purpose
nominating	committee	purpose
screening	committee	purpose
selection	committee	purpose
banking	company	purpose
brokerage	company	purpose
capitalization	company	purpose
catering	company	purpose
commerce	company	purpose
communication	company	purpose
defence	company	purpose
delivery	company	purpose
distribution	company	purpose
engineering	company	purpose
entertainment	company	purpose
equipment	company	purpose
exploration	company	purpose
factoring	company	purpose
fishing	company	purpose
forestry	company	purpose
investment	company	purpose
logging	company	purpose
maintenance	company	purpose
manufacturing	company	purpose
networking	company	purpose
processing	company	purpose
rating	company	purpose
recording	company	purpose
recycling	company	purpose
reinsurance	company	purpose
salvage	company	purpose
service	company	purpose
storage	company	purpose
testing	company	purpose
trading	company	purpose
transportation	company	purpose
trucking	company	purpose
manufacturing	enterprise	purpose
processing	enterprise	purpose
service	enterprise	purpose
banking	firm	purpose
clearing	firm	purpose
communication	firm	purpose
engineering	firm	purpose
investment	firm	purpose
manufacturing	firm	purpose
outplacement	firm	purpose
rating	firm	purpose
service	firm	purpose
trading	firm	purpose
trucking	firm	purpose
aerospace	group	purpose
banking	group	purpose
communication	group	purpose
defence	group	purpose
distribution	group	purpose
engineering	group	purpose
entertainment	group	purpose
equipment	group	purpose
forestry	group	purpose
government	group	purpose
inspection	group	purpose
investment	group	purpose
manufacturing	group	purpose
protection	group	purpose
publishing	group	purpose
service	group	purpose
trading	group	purpose
transportation	group	purpose
packing	house	purpose
trading	house	purpose
communication	officer	purpose
appropriation	panel	purpose
arbitration	panel	purpose
accounting	profession	purpose
teaching	profession	purpose
investment	professional	purpose
teaching	staff	purpose
cycling	team	purpose
diving	team	purpose
expansion	team	purpose
fact finding	team	purpose
inspection	team	purpose
prosecution	team	purpose
recovery	team	purpose
transition	team	purpose
banking	unit	purpose
bargaining	unit	purpose
communication	unit	purpose
engineering	unit	purpose
equipment	unit	purpose
intelligence	unit	purpose
investment	unit	purpose
