eye	candy	other
contribution	limit	objective
defense	plan	objective
kilometer	pipeline	other
campaign	pledge	time
computing	device	purpose
appeal	hearing	topical
glass	tower	containment
telecommunication	analyst	objective
border	enclave	loc_part_whole
thrift industry	regulator	objective
core	golfer	attribute
year	dictatorship	other
tuition	increase	objective
garment	fair	complement
food	historian	complement
mile	ride	other
airport	terminal	loc_part_whole
production	project	purpose
world	map	topical
state	assistance	causal
government	soldier	owner_emp_use
equity	injection	objective
communication	infrastructure	purpose
state	controller	owner_emp_use
transport	capacity	purpose
hospital	staff	owner_emp_use
quarter	ending	time
missile	strike	causal
police	barricade	owner_emp_use
compromise	plan	attribute
hour	program	other
ocean	view	objective
computer	model	loc_part_whole
restoration	work	purpose
star	striker	attribute
sport	shoe	purpose
market	imperfection	complement
insurance	firm	purpose
waste	site	containment
candlelight	vigil	causal
production	sector	purpose
member	school	attribute
marketing	machine	purpose
electricity	use	objective
brain	study	objective
star	power	complement
bike	ride	objective
store	window	loc_part_whole
aniline	hydrochloride	containment
lawmaking	body	purpose
room	cleanup	objective
thrift	executive	complement
austerity	plan	purpose
discount	market	purpose
fishing	area	purpose
environment	issue	topical
workplace	bias	loc_part_whole
campaign	statement	causal
service	employee	purpose
conveyor	belt	attribute
copper	deposit	containment
group	conflict	other
parent	organization	attribute
cardigan	sweater	attribute
gang	leader	objective
discount	promotion	causal
aluminium	industry	purpose
military	spokesman	owner_emp_use
consumer	complaint	causal
window	breaking	objective
reporter	question	causal
liter	bottle	other
cure	rate	complement
courtesy	visit	other
charter	service	other
page	return	other
magazine	interview	causal
circus	clown	owner_emp_use
brain	test	objective
property	arm	purpose
year	project	other
telephone	rate	complement
control	measure	purpose
core	voter	attribute
delivery	date	time
golf	history	complement
rocket	fire	causal
worker	training	objective
withdrawal	request	objective
government	resource	owner_emp_use
consumer	need	cause
balance	sheet	topical
city	subsidy	causal
health	division	purpose
shareholder	approval	causal
quarterback	position	attribute
navy	official	owner_emp_use
enrollment	rate	complement
skeleton	crew	attribute
car	door	loc_part_whole
core	classic	attribute
liquidity	crunch	other
evening	newscast	time
fire	road	purpose
spending	ceiling	purpose
traffic	system	purpose
telephone	giant	purpose
trading	loss	causal
protection	program	purpose
art	conservation	objective
medal	contender	objective
tobacco	manufacturer	objective
waste	truck	purpose
week	run	other
investor	withdrawal	causal
