church	commissioner	EMPLOYER
police	commissioner	EMPLOYER
army	general	EMPLOYER
police	general	EMPLOYER
church	accountant	EMPLOYER
state	administrator	EMPLOYER
child	advocate	EMPLOYER
consumer	advocate	EMPLOYER
government	agency	EMPLOYER
state	agency	EMPLOYER
government	agent	EMPLOYER
police	agent	EMPLOYER
committee	aide	EMPLOYER
government	army	EMPLOYER
state	assemblyman	EMPLOYER
district	auditor	EMPLOYER
government	auditor	EMPLOYER
state	auditor	EMPLOYER
district	authorities	EMPLOYER
state	biologist	EMPLOYER
government	body	EMPLOYER
state	body	EMPLOYER
state	bureaucracy	EMPLOYER
government	bureaucrat	EMPLOYER
army	captain	EMPLOYER
team	captain	EMPLOYER
church	choir	EMPLOYER
circus	clown	EMPLOYER
newspaper	columnist	EMPLOYER
state	commissioner	EMPLOYER
government	committee	EMPLOYER
parliament	committee	EMPLOYER
state	committee	EMPLOYER
village	committee	EMPLOYER
police	constable	EMPLOYER
government	contractor	EMPLOYER
state	councillor	EMPLOYER
business	counsel	EMPLOYER
government	department	EMPLOYER
state	department	EMPLOYER
police	detective	EMPLOYER
magazine	editor	EMPLOYER
airline	employee	EMPLOYER
college	employee	EMPLOYER
court	employee	EMPLOYER
government	employee	EMPLOYER
office	employee	EMPLOYER
prison	employee	EMPLOYER
state	employee	EMPLOYER
store	employee	EMPLOYER
university	employee	EMPLOYER
magazine	entrepreneur	EMPLOYER
army	expert	EMPLOYER
government	expert	EMPLOYER
police	expert	EMPLOYER
state	expert	EMPLOYER
government	functionary	EMPLOYER
police	informer	EMPLOYER
government	inspector	EMPLOYER
police	inspector	EMPLOYER
state	inspector	EMPLOYER
state	jury	EMPLOYER
army	lieutenant	EMPLOYER
business	lobbyist	EMPLOYER
state	marshal	EMPLOYER
government	ministry	EMPLOYER
state	ministry	EMPLOYER
government	negotiator	EMPLOYER
airline	office	EMPLOYER
agency	official	EMPLOYER
airline	official	EMPLOYER
army	official	EMPLOYER
bureau	official	EMPLOYER
church	official	EMPLOYER
coalition	official	EMPLOYER
committee	official	EMPLOYER
court	official	EMPLOYER
department	official	EMPLOYER
foundation	official	EMPLOYER
government	official	EMPLOYER
institute	official	EMPLOYER
jail	official	EMPLOYER
lab	official	EMPLOYER
labor	official	EMPLOYER
military	official	EMPLOYER
ministry	official	EMPLOYER
network	official	EMPLOYER
office	official	EMPLOYER
opposition	official	EMPLOYER
police	official	EMPLOYER
prison	official	EMPLOYER
state	official	EMPLOYER
team	official	EMPLOYER
university	official	EMPLOYER
village	official	EMPLOYER
state	organization	EMPLOYER
government	panel	EMPLOYER
state	panel	EMPLOYER
state	parliament	EMPLOYER
army	personnel	EMPLOYER
government	personnel	EMPLOYER
police	personnel	EMPLOYER
government	planner	EMPLOYER
state	police	EMPLOYER
government	professor	EMPLOYER
university	professor	EMPLOYER
newspaper	reporter	EMPLOYER
government	researcher	EMPLOYER
university	researcher	EMPLOYER
government	scientist	EMPLOYER
project	scientist	EMPLOYER
army	soldier	EMPLOYER
government	soldier	EMPLOYER
army	source	EMPLOYER
committee	source	EMPLOYER
court	source	EMPLOYER
department	source	EMPLOYER
government	source	EMPLOYER
military	source	EMPLOYER
ministry	source	EMPLOYER
opposition	source	EMPLOYER
police	source	EMPLOYER
team	source	EMPLOYER
parliament	speaker	EMPLOYER
state	speaker	EMPLOYER
government	spokesperson	EMPLOYER
police	superintendent	EMPLOYER
state	superintendent	EMPLOYER
army	team	EMPLOYER
army	troop	EMPLOYER
government	troop	EMPLOYER
government	witness	EMPLOYER
prosecution	witness	EMPLOYER
state	witness	EMPLOYER
airline	worker	EMPLOYER
government	worker	EMPLOYER
state	worker	EMPLOYER
treasury	worker	EMPLOYER
government	work	EMPLOYER
magazine	writer	EMPLOYER
import	permit	PERFORM&ENGAGE_IN
strike	aircraft	PERFORM&ENGAGE_IN
transport	aircraft	PERFORM&ENGAGE_IN
wash	basin	PERFORM&ENGAGE_IN
lounge	wear	PERFORM&ENGAGE_IN
rescue	boat	PERFORM&ENGAGE_IN
control	equipment	PERFORM&ENGAGE_IN
rescue	equipment	PERFORM&ENGAGE_IN
support	equipment	PERFORM&ENGAGE_IN
transport	equipment	PERFORM&ENGAGE_IN
rescue	helicopter	PERFORM&ENGAGE_IN
transport	helicopter	PERFORM&ENGAGE_IN
copy	machine	PERFORM&ENGAGE_IN
exercise	machine	PERFORM&ENGAGE_IN
fax	machine	PERFORM&ENGAGE_IN
assault	rifle	PERFORM&ENGAGE_IN
control	technology	PERFORM&ENGAGE_IN
research	tool	PERFORM&ENGAGE_IN
rescue	vehicle	PERFORM&ENGAGE_IN
transport	vehicle	PERFORM&ENGAGE_IN
rescue	vessel	PERFORM&ENGAGE_IN
research	vessel	PERFORM&ENGAGE_IN
assault	weapon	PERFORM&ENGAGE_IN
exercise	yard	PERFORM&ENGAGE_IN
relief	material	PERFORM&ENGAGE_IN
research	material	PERFORM&ENGAGE_IN
exercise	bike	PERFORM&ENGAGE_IN
control	device	PERFORM&ENGAGE_IN
book	fair	RELATIONAL-NOUN-COMPLEMENT
job	fair	RELATIONAL-NOUN-COMPLEMENT
firework	fair	RELATIONAL-NOUN-COMPLEMENT
garment	fair	RELATIONAL-NOUN-COMPLEMENT
gem	fair	RELATIONAL-NOUN-COMPLEMENT
hardware	fair	RELATIONAL-NOUN-COMPLEMENT
photo	fair	RELATIONAL-NOUN-COMPLEMENT
science	fair	RELATIONAL-NOUN-COMPLEMENT
talent	fair	RELATIONAL-NOUN-COMPLEMENT
vegetable	fair	RELATIONAL-NOUN-COMPLEMENT
wine	fair	RELATIONAL-NOUN-COMPLEMENT
risk	system	OTHER
financing	scheme	OTHER
fraud	scheme	OTHER
land	system	OTHER
insurance	scheme	OTHER
contract	system	OTHER
permit	system	OTHER
pay	scheme	OTHER
benefit	system	OTHER
compensation	scheme	OTHER
pay	system	OTHER
credit	system	OTHER
job	scheme	OTHER
character	trait	RELATIONAL-NOUN-COMPLEMENT
skin	tone	RELATIONAL-NOUN-COMPLEMENT
eye	color	RELATIONAL-NOUN-COMPLEMENT
makeup	color	RELATIONAL-NOUN-COMPLEMENT
classroom	style	RELATIONAL-NOUN-COMPLEMENT
hair	style	RELATIONAL-NOUN-COMPLEMENT
work	style	RELATIONAL-NOUN-COMPLEMENT
account	number	RELATIONAL-NOUN-COMPLEMENT
ticket	number	RELATIONAL-NOUN-COMPLEMENT
book	title	RELATIONAL-NOUN-COMPLEMENT
job	title	RELATIONAL-NOUN-COMPLEMENT
magazine	title	RELATIONAL-NOUN-COMPLEMENT
category	code	RELATIONAL-NOUN-COMPLEMENT
